
Epoch:   0%|                                                                                                                     | 0/1 [00:00<?, ?it/s]
0 35 tensor(1.8754, device='cuda:0', grad_fn=<NllLossBackward0>)
0 36 tensor(1.8367, device='cuda:0', grad_fn=<NllLossBackward0>)
0 37 tensor(1.7534, device='cuda:0', grad_fn=<NllLossBackward0>)
0 38 tensor(1.9662, device='cuda:0', grad_fn=<NllLossBackward0>)
0 39 tensor(1.8054, device='cuda:0', grad_fn=<NllLossBackward0>)
0 40 tensor(1.8636, device='cuda:0', grad_fn=<NllLossBackward0>)
0 41 tensor(1.8726, device='cuda:0', grad_fn=<NllLossBackward0>)
0 42 tensor(1.9121, device='cuda:0', grad_fn=<NllLossBackward0>)
0 43 tensor(1.8600, device='cuda:0', grad_fn=<NllLossBackward0>)
0 44 tensor(1.9447, device='cuda:0', grad_fn=<NllLossBackward0>)
0 45 tensor(1.8836, device='cuda:0', grad_fn=<NllLossBackward0>)
0 46 tensor(1.9200, device='cuda:0', grad_fn=<NllLossBackward0>)
0 47 tensor(1.8638, device='cuda:0', grad_fn=<NllLossBackward0>)
0 48 tensor(1.8899, device='cuda:0', grad_fn=<NllLossBackward0>)
0 49 tensor(1.8608, device='cuda:0', grad_fn=<NllLossBackward0>)
0 50 tensor(1.8469, device='cuda:0', grad_fn=<NllLossBackward0>)
0 51 tensor(1.8835, device='cuda:0', grad_fn=<NllLossBackward0>)
0 52 tensor(1.7668, device='cuda:0', grad_fn=<NllLossBackward0>)
0 53 tensor(1.8763, device='cuda:0', grad_fn=<NllLossBackward0>)
0 54 tensor(1.9842, device='cuda:0', grad_fn=<NllLossBackward0>)
0 55 tensor(1.9749, device='cuda:0', grad_fn=<NllLossBackward0>)
0 56 tensor(1.9379, device='cuda:0', grad_fn=<NllLossBackward0>)
0 57 tensor(1.8713, device='cuda:0', grad_fn=<NllLossBackward0>)
0 58 tensor(1.8033, device='cuda:0', grad_fn=<NllLossBackward0>)
0 59 tensor(1.7862, device='cuda:0', grad_fn=<NllLossBackward0>)
0 60 tensor(1.8668, device='cuda:0', grad_fn=<NllLossBackward0>)
0 61 tensor(1.7576, device='cuda:0', grad_fn=<NllLossBackward0>)
0 62 tensor(1.8621, device='cuda:0', grad_fn=<NllLossBackward0>)
0 63 tensor(1.8714, device='cuda:0', grad_fn=<NllLossBackward0>)
0 64 tensor(1.7424, device='cuda:0', grad_fn=<NllLossBackward0>)
0 65 tensor(1.8791, device='cuda:0', grad_fn=<NllLossBackward0>)
0 66 tensor(1.8414, device='cuda:0', grad_fn=<NllLossBackward0>)
0 67 tensor(1.9102, device='cuda:0', grad_fn=<NllLossBackward0>)
0 68 tensor(1.7610, device='cuda:0', grad_fn=<NllLossBackward0>)
0 69 tensor(1.8485, device='cuda:0', grad_fn=<NllLossBackward0>)
0 70 tensor(1.8137, device='cuda:0', grad_fn=<NllLossBackward0>)
0 71 tensor(1.9211, device='cuda:0', grad_fn=<NllLossBackward0>)
0 72 tensor(1.8536, device='cuda:0', grad_fn=<NllLossBackward0>)
0 73 tensor(1.7742, device='cuda:0', grad_fn=<NllLossBackward0>)
0 74 tensor(1.8804, device='cuda:0', grad_fn=<NllLossBackward0>)
0 75 tensor(1.8830, device='cuda:0', grad_fn=<NllLossBackward0>)
0 76 tensor(1.8672, device='cuda:0', grad_fn=<NllLossBackward0>)
0 77 tensor(1.7140, device='cuda:0', grad_fn=<NllLossBackward0>)
0 78 tensor(1.9651, device='cuda:0', grad_fn=<NllLossBackward0>)
0 79 tensor(1.8672, device='cuda:0', grad_fn=<NllLossBackward0>)
0 80 tensor(1.9746, device='cuda:0', grad_fn=<NllLossBackward0>)
0 81 tensor(1.7181, device='cuda:0', grad_fn=<NllLossBackward0>)
0 82 tensor(1.8411, device='cuda:0', grad_fn=<NllLossBackward0>)
0 83 tensor(1.9477, device='cuda:0', grad_fn=<NllLossBackward0>)
0 84 tensor(1.9893, device='cuda:0', grad_fn=<NllLossBackward0>)
0 85 tensor(1.8532, device='cuda:0', grad_fn=<NllLossBackward0>)
0 86 tensor(1.8801, device='cuda:0', grad_fn=<NllLossBackward0>)
0 87 tensor(1.8188, device='cuda:0', grad_fn=<NllLossBackward0>)
0 88 tensor(1.8893, device='cuda:0', grad_fn=<NllLossBackward0>)
0 89 tensor(1.8949, device='cuda:0', grad_fn=<NllLossBackward0>)
0 90 tensor(1.8370, device='cuda:0', grad_fn=<NllLossBackward0>)
0 91 tensor(1.9800, device='cuda:0', grad_fn=<NllLossBackward0>)
0 92 tensor(1.7616, device='cuda:0', grad_fn=<NllLossBackward0>)
0 93 tensor(1.9546, device='cuda:0', grad_fn=<NllLossBackward0>)
0 94 tensor(1.8352, device='cuda:0', grad_fn=<NllLossBackward0>)
0 95 tensor(1.9274, device='cuda:0', grad_fn=<NllLossBackward0>)
0 96 tensor(1.7272, device='cuda:0', grad_fn=<NllLossBackward0>)
0 97 tensor(1.8701, device='cuda:0', grad_fn=<NllLossBackward0>)
0 98 tensor(1.9311, device='cuda:0', grad_fn=<NllLossBackward0>)
0 99 tensor(1.9451, device='cuda:0', grad_fn=<NllLossBackward0>)
0 100 tensor(1.8299, device='cuda:0', grad_fn=<NllLossBackward0>)
0 101 tensor(1.7395, device='cuda:0', grad_fn=<NllLossBackward0>)
0 102 tensor(1.8475, device='cuda:0', grad_fn=<NllLossBackward0>)
0 103 tensor(1.8698, device='cuda:0', grad_fn=<NllLossBackward0>)
0 104 tensor(1.8333, device='cuda:0', grad_fn=<NllLossBackward0>)
0 105 tensor(1.7450, device='cuda:0', grad_fn=<NllLossBackward0>)
0 106 tensor(1.8230, device='cuda:0', grad_fn=<NllLossBackward0>)
0 107 tensor(1.8994, device='cuda:0', grad_fn=<NllLossBackward0>)
0 108 tensor(1.8705, device='cuda:0', grad_fn=<NllLossBackward0>)
0 109 tensor(1.8880, device='cuda:0', grad_fn=<NllLossBackward0>)
0 110 tensor(1.7192, device='cuda:0', grad_fn=<NllLossBackward0>)
0 111 tensor(1.9155, device='cuda:0', grad_fn=<NllLossBackward0>)
0 112 tensor(1.8572, device='cuda:0', grad_fn=<NllLossBackward0>)
0 113 tensor(1.8879, device='cuda:0', grad_fn=<NllLossBackward0>)
0 114 tensor(1.7969, device='cuda:0', grad_fn=<NllLossBackward0>)
0 115 tensor(1.8917, device='cuda:0', grad_fn=<NllLossBackward0>)
0 116 tensor(1.8414, device='cuda:0', grad_fn=<NllLossBackward0>)
0 117 tensor(1.8969, device='cuda:0', grad_fn=<NllLossBackward0>)
0 118 tensor(1.8602, device='cuda:0', grad_fn=<NllLossBackward0>)
0 119 tensor(1.8538, device='cuda:0', grad_fn=<NllLossBackward0>)
0 120 tensor(1.8249, device='cuda:0', grad_fn=<NllLossBackward0>)
0 121 tensor(1.8662, device='cuda:0', grad_fn=<NllLossBackward0>)
0 122 tensor(1.9306, device='cuda:0', grad_fn=<NllLossBackward0>)
0 123 tensor(1.8362, device='cuda:0', grad_fn=<NllLossBackward0>)
0 124 tensor(1.8267, device='cuda:0', grad_fn=<NllLossBackward0>)
0 125 tensor(1.8309, device='cuda:0', grad_fn=<NllLossBackward0>)
0 126 tensor(1.8812, device='cuda:0', grad_fn=<NllLossBackward0>)
0 127 tensor(1.8906, device='cuda:0', grad_fn=<NllLossBackward0>)
0 128 tensor(1.9130, device='cuda:0', grad_fn=<NllLossBackward0>)
0 129 tensor(1.7863, device='cuda:0', grad_fn=<NllLossBackward0>)
0 130 tensor(1.7297, device='cuda:0', grad_fn=<NllLossBackward0>)
0 131 tensor(1.7474, device='cuda:0', grad_fn=<NllLossBackward0>)
0 132 tensor(1.8643, device='cuda:0', grad_fn=<NllLossBackward0>)
0 133 tensor(1.7304, device='cuda:0', grad_fn=<NllLossBackward0>)
0 134 tensor(1.7645, device='cuda:0', grad_fn=<NllLossBackward0>)
0 135 tensor(1.7576, device='cuda:0', grad_fn=<NllLossBackward0>)
0 136 tensor(1.8244, device='cuda:0', grad_fn=<NllLossBackward0>)
0 137 tensor(1.7156, device='cuda:0', grad_fn=<NllLossBackward0>)
0 138 tensor(1.8823, device='cuda:0', grad_fn=<NllLossBackward0>)
0 139 tensor(2.0610, device='cuda:0', grad_fn=<NllLossBackward0>)
0 140 tensor(1.8454, device='cuda:0', grad_fn=<NllLossBackward0>)
0 141 tensor(1.9020, device='cuda:0', grad_fn=<NllLossBackward0>)
0 142 tensor(1.8543, device='cuda:0', grad_fn=<NllLossBackward0>)
0 143 tensor(1.7044, device='cuda:0', grad_fn=<NllLossBackward0>)
0 144 tensor(1.8286, device='cuda:0', grad_fn=<NllLossBackward0>)
0 145 tensor(2.0244, device='cuda:0', grad_fn=<NllLossBackward0>)
0 146 tensor(1.7824, device='cuda:0', grad_fn=<NllLossBackward0>)
0 147 tensor(1.8163, device='cuda:0', grad_fn=<NllLossBackward0>)
0 148 tensor(1.8363, device='cuda:0', grad_fn=<NllLossBackward0>)
0 149 tensor(1.9153, device='cuda:0', grad_fn=<NllLossBackward0>)
0 150 tensor(1.8454, device='cuda:0', grad_fn=<NllLossBackward0>)
0 151 tensor(1.9723, device='cuda:0', grad_fn=<NllLossBackward0>)
0 152 tensor(1.8212, device='cuda:0', grad_fn=<NllLossBackward0>)
0 153 tensor(1.8305, device='cuda:0', grad_fn=<NllLossBackward0>)
0 154 tensor(1.8064, device='cuda:0', grad_fn=<NllLossBackward0>)
0 155 tensor(1.7936, device='cuda:0', grad_fn=<NllLossBackward0>)
0 156 tensor(1.8105, device='cuda:0', grad_fn=<NllLossBackward0>)
0 157 tensor(1.8200, device='cuda:0', grad_fn=<NllLossBackward0>)
0 158 tensor(1.7448, device='cuda:0', grad_fn=<NllLossBackward0>)
0 159 tensor(1.7138, device='cuda:0', grad_fn=<NllLossBackward0>)
0 160 tensor(1.8859, device='cuda:0', grad_fn=<NllLossBackward0>)
0 161 tensor(1.9785, device='cuda:0', grad_fn=<NllLossBackward0>)
0 162 tensor(1.8044, device='cuda:0', grad_fn=<NllLossBackward0>)
0 163 tensor(2.0036, device='cuda:0', grad_fn=<NllLossBackward0>)
0 164 tensor(1.8267, device='cuda:0', grad_fn=<NllLossBackward0>)
0 165 tensor(1.7603, device='cuda:0', grad_fn=<NllLossBackward0>)
0 166 tensor(1.8219, device='cuda:0', grad_fn=<NllLossBackward0>)
0 167 tensor(1.9152, device='cuda:0', grad_fn=<NllLossBackward0>)
0 168 tensor(1.8259, device='cuda:0', grad_fn=<NllLossBackward0>)
0 169 tensor(1.8505, device='cuda:0', grad_fn=<NllLossBackward0>)
0 170 tensor(2.0509, device='cuda:0', grad_fn=<NllLossBackward0>)
0 171 tensor(1.7779, device='cuda:0', grad_fn=<NllLossBackward0>)
0 172 tensor(1.7732, device='cuda:0', grad_fn=<NllLossBackward0>)
0 173 tensor(1.8475, device='cuda:0', grad_fn=<NllLossBackward0>)
0 174 tensor(1.8955, device='cuda:0', grad_fn=<NllLossBackward0>)
0 175 tensor(1.9034, device='cuda:0', grad_fn=<NllLossBackward0>)
0 176 tensor(1.9437, device='cuda:0', grad_fn=<NllLossBackward0>)
0 177 tensor(1.8335, device='cuda:0', grad_fn=<NllLossBackward0>)
0 178 tensor(1.8607, device='cuda:0', grad_fn=<NllLossBackward0>)
0 179 tensor(1.7928, device='cuda:0', grad_fn=<NllLossBackward0>)
0 180 tensor(1.8651, device='cuda:0', grad_fn=<NllLossBackward0>)
0 181 tensor(1.9639, device='cuda:0', grad_fn=<NllLossBackward0>)
0 182 tensor(1.8513, device='cuda:0', grad_fn=<NllLossBackward0>)
0 183 tensor(1.7382, device='cuda:0', grad_fn=<NllLossBackward0>)
0 184 tensor(1.9022, device='cuda:0', grad_fn=<NllLossBackward0>)
0 185 tensor(1.8242, device='cuda:0', grad_fn=<NllLossBackward0>)
0 186 tensor(1.8419, device='cuda:0', grad_fn=<NllLossBackward0>)
0 187 tensor(1.8851, device='cuda:0', grad_fn=<NllLossBackward0>)
0 188 tensor(1.7379, device='cuda:0', grad_fn=<NllLossBackward0>)
0 189 tensor(1.7750, device='cuda:0', grad_fn=<NllLossBackward0>)
0 190 tensor(1.8635, device='cuda:0', grad_fn=<NllLossBackward0>)
0 191 tensor(1.7967, device='cuda:0', grad_fn=<NllLossBackward0>)
0 192 tensor(1.8081, device='cuda:0', grad_fn=<NllLossBackward0>)
0 193 tensor(1.9165, device='cuda:0', grad_fn=<NllLossBackward0>)
0 194 tensor(1.8955, device='cuda:0', grad_fn=<NllLossBackward0>)
0 195 tensor(1.7728, device='cuda:0', grad_fn=<NllLossBackward0>)
0 196 tensor(1.8842, device='cuda:0', grad_fn=<NllLossBackward0>)
0 197 tensor(1.8983, device='cuda:0', grad_fn=<NllLossBackward0>)
0 198 tensor(1.8325, device='cuda:0', grad_fn=<NllLossBackward0>)
0 199 tensor(1.9314, device='cuda:0', grad_fn=<NllLossBackward0>)
0 200 tensor(1.9000, device='cuda:0', grad_fn=<NllLossBackward0>)
0 201 tensor(1.8675, device='cuda:0', grad_fn=<NllLossBackward0>)
0 202 tensor(1.6632, device='cuda:0', grad_fn=<NllLossBackward0>)
0 203 tensor(1.8690, device='cuda:0', grad_fn=<NllLossBackward0>)
0 204 tensor(1.8228, device='cuda:0', grad_fn=<NllLossBackward0>)
0 205 tensor(1.8606, device='cuda:0', grad_fn=<NllLossBackward0>)
0 206 tensor(1.9707, device='cuda:0', grad_fn=<NllLossBackward0>)
0 207 tensor(1.9750, device='cuda:0', grad_fn=<NllLossBackward0>)
0 208 tensor(1.8086, device='cuda:0', grad_fn=<NllLossBackward0>)
0 209 tensor(1.8161, device='cuda:0', grad_fn=<NllLossBackward0>)
0 210 tensor(1.7271, device='cuda:0', grad_fn=<NllLossBackward0>)
0 211 tensor(1.9089, device='cuda:0', grad_fn=<NllLossBackward0>)
0 212 tensor(1.8252, device='cuda:0', grad_fn=<NllLossBackward0>)
0 213 tensor(1.8943, device='cuda:0', grad_fn=<NllLossBackward0>)
0 214 tensor(1.8628, device='cuda:0', grad_fn=<NllLossBackward0>)
0 215 tensor(1.9795, device='cuda:0', grad_fn=<NllLossBackward0>)
0 216 tensor(1.7573, device='cuda:0', grad_fn=<NllLossBackward0>)
0 217 tensor(1.8787, device='cuda:0', grad_fn=<NllLossBackward0>)
0 218 tensor(1.9379, device='cuda:0', grad_fn=<NllLossBackward0>)
0 219 tensor(1.7703, device='cuda:0', grad_fn=<NllLossBackward0>)
0 220 tensor(1.7985, device='cuda:0', grad_fn=<NllLossBackward0>)
0 221 tensor(1.8385, device='cuda:0', grad_fn=<NllLossBackward0>)
0 222 tensor(1.8095, device='cuda:0', grad_fn=<NllLossBackward0>)
0 223 tensor(1.7164, device='cuda:0', grad_fn=<NllLossBackward0>)
0 224 tensor(1.8407, device='cuda:0', grad_fn=<NllLossBackward0>)
0 225 tensor(1.7615, device='cuda:0', grad_fn=<NllLossBackward0>)
0 226 tensor(1.9410, device='cuda:0', grad_fn=<NllLossBackward0>)
0 227 tensor(1.7697, device='cuda:0', grad_fn=<NllLossBackward0>)
0 228 tensor(1.8352, device='cuda:0', grad_fn=<NllLossBackward0>)
0 229 tensor(1.7687, device='cuda:0', grad_fn=<NllLossBackward0>)
0 230 tensor(1.7235, device='cuda:0', grad_fn=<NllLossBackward0>)
0 231 tensor(1.8634, device='cuda:0', grad_fn=<NllLossBackward0>)
0 232 tensor(2.0490, device='cuda:0', grad_fn=<NllLossBackward0>)
0 233 tensor(1.8811, device='cuda:0', grad_fn=<NllLossBackward0>)
0 234 tensor(1.9553, device='cuda:0', grad_fn=<NllLossBackward0>)
0 235 tensor(1.7883, device='cuda:0', grad_fn=<NllLossBackward0>)
0 236 tensor(1.9441, device='cuda:0', grad_fn=<NllLossBackward0>)
0 237 tensor(1.7629, device='cuda:0', grad_fn=<NllLossBackward0>)
0 238 tensor(1.9227, device='cuda:0', grad_fn=<NllLossBackward0>)
0 239 tensor(1.7809, device='cuda:0', grad_fn=<NllLossBackward0>)
0 240 tensor(1.8809, device='cuda:0', grad_fn=<NllLossBackward0>)
0 241 tensor(1.9058, device='cuda:0', grad_fn=<NllLossBackward0>)
0 242 tensor(1.9222, device='cuda:0', grad_fn=<NllLossBackward0>)
0 243 tensor(1.9165, device='cuda:0', grad_fn=<NllLossBackward0>)
0 244 tensor(1.9906, device='cuda:0', grad_fn=<NllLossBackward0>)
0 245 tensor(1.7988, device='cuda:0', grad_fn=<NllLossBackward0>)
0 246 tensor(1.8553, device='cuda:0', grad_fn=<NllLossBackward0>)
0 247 tensor(1.8916, device='cuda:0', grad_fn=<NllLossBackward0>)
0 248 tensor(1.8466, device='cuda:0', grad_fn=<NllLossBackward0>)
0 249 tensor(1.9205, device='cuda:0', grad_fn=<NllLossBackward0>)
0 250 tensor(1.9915, device='cuda:0', grad_fn=<NllLossBackward0>)
0 251 tensor(1.8624, device='cuda:0', grad_fn=<NllLossBackward0>)
0 252 tensor(1.9523, device='cuda:0', grad_fn=<NllLossBackward0>)
0 253 tensor(1.8216, device='cuda:0', grad_fn=<NllLossBackward0>)
0 254 tensor(1.7589, device='cuda:0', grad_fn=<NllLossBackward0>)
0 255 tensor(1.8232, device='cuda:0', grad_fn=<NllLossBackward0>)
0 256 tensor(1.8780, device='cuda:0', grad_fn=<NllLossBackward0>)
0 257 tensor(1.9228, device='cuda:0', grad_fn=<NllLossBackward0>)
0 258 tensor(1.9549, device='cuda:0', grad_fn=<NllLossBackward0>)
0 259 tensor(1.8152, device='cuda:0', grad_fn=<NllLossBackward0>)
0 260 tensor(1.8436, device='cuda:0', grad_fn=<NllLossBackward0>)
0 261 tensor(1.9233, device='cuda:0', grad_fn=<NllLossBackward0>)
0 262 tensor(1.9624, device='cuda:0', grad_fn=<NllLossBackward0>)
0 263 tensor(1.7386, device='cuda:0', grad_fn=<NllLossBackward0>)
0 264 tensor(1.8853, device='cuda:0', grad_fn=<NllLossBackward0>)
0 265 tensor(1.8363, device='cuda:0', grad_fn=<NllLossBackward0>)
0 266 tensor(1.9839, device='cuda:0', grad_fn=<NllLossBackward0>)
0 267 tensor(1.8673, device='cuda:0', grad_fn=<NllLossBackward0>)
0 268 tensor(1.8030, device='cuda:0', grad_fn=<NllLossBackward0>)
0 269 tensor(1.7671, device='cuda:0', grad_fn=<NllLossBackward0>)
0 270 tensor(1.7995, device='cuda:0', grad_fn=<NllLossBackward0>)
0 271 tensor(1.9118, device='cuda:0', grad_fn=<NllLossBackward0>)
0 272 tensor(2.0733, device='cuda:0', grad_fn=<NllLossBackward0>)
0 273 tensor(2.0158, device='cuda:0', grad_fn=<NllLossBackward0>)
0 274 tensor(1.8735, device='cuda:0', grad_fn=<NllLossBackward0>)
0 275 tensor(2.0601, device='cuda:0', grad_fn=<NllLossBackward0>)
0 276 tensor(1.9130, device='cuda:0', grad_fn=<NllLossBackward0>)
0 277 tensor(1.7570, device='cuda:0', grad_fn=<NllLossBackward0>)
0 278 tensor(1.9160, device='cuda:0', grad_fn=<NllLossBackward0>)
0 279 tensor(1.8174, device='cuda:0', grad_fn=<NllLossBackward0>)
0 280 tensor(1.8782, device='cuda:0', grad_fn=<NllLossBackward0>)
0 281 tensor(1.9373, device='cuda:0', grad_fn=<NllLossBackward0>)
0 282 tensor(1.9937, device='cuda:0', grad_fn=<NllLossBackward0>)
0 283 tensor(1.8803, device='cuda:0', grad_fn=<NllLossBackward0>)
0 284 tensor(1.9019, device='cuda:0', grad_fn=<NllLossBackward0>)
0 285 tensor(1.8086, device='cuda:0', grad_fn=<NllLossBackward0>)
0 286 tensor(1.9469, device='cuda:0', grad_fn=<NllLossBackward0>)
0 287 tensor(1.9320, device='cuda:0', grad_fn=<NllLossBackward0>)
0 288 tensor(1.8314, device='cuda:0', grad_fn=<NllLossBackward0>)
0 289 tensor(1.9524, device='cuda:0', grad_fn=<NllLossBackward0>)
0 290 tensor(1.8284, device='cuda:0', grad_fn=<NllLossBackward0>)
0 291 tensor(1.8183, device='cuda:0', grad_fn=<NllLossBackward0>)
0 292 tensor(1.8907, device='cuda:0', grad_fn=<NllLossBackward0>)
0 293 tensor(1.8844, device='cuda:0', grad_fn=<NllLossBackward0>)
0 294 tensor(1.8514, device='cuda:0', grad_fn=<NllLossBackward0>)
0 295 tensor(1.7603, device='cuda:0', grad_fn=<NllLossBackward0>)
0 296 tensor(1.7989, device='cuda:0', grad_fn=<NllLossBackward0>)
0 297 tensor(1.9492, device='cuda:0', grad_fn=<NllLossBackward0>)
0 298 tensor(1.9095, device='cuda:0', grad_fn=<NllLossBackward0>)
0 299 tensor(1.8843, device='cuda:0', grad_fn=<NllLossBackward0>)
0 300 tensor(1.9733, device='cuda:0', grad_fn=<NllLossBackward0>)
0 301 tensor(1.9073, device='cuda:0', grad_fn=<NllLossBackward0>)
0 302 tensor(1.8502, device='cuda:0', grad_fn=<NllLossBackward0>)
0 303 tensor(1.9682, device='cuda:0', grad_fn=<NllLossBackward0>)
0 304 tensor(1.9005, device='cuda:0', grad_fn=<NllLossBackward0>)
0 305 tensor(1.9296, device='cuda:0', grad_fn=<NllLossBackward0>)
0 306 tensor(1.8845, device='cuda:0', grad_fn=<NllLossBackward0>)
0 307 tensor(1.7921, device='cuda:0', grad_fn=<NllLossBackward0>)
0 308 tensor(1.9201, device='cuda:0', grad_fn=<NllLossBackward0>)
0 309 tensor(1.8641, device='cuda:0', grad_fn=<NllLossBackward0>)
0 310 tensor(1.7632, device='cuda:0', grad_fn=<NllLossBackward0>)
0 311 tensor(1.8056, device='cuda:0', grad_fn=<NllLossBackward0>)
0 312 tensor(1.8005, device='cuda:0', grad_fn=<NllLossBackward0>)
0 313 tensor(1.8698, device='cuda:0', grad_fn=<NllLossBackward0>)
0 314 tensor(1.9113, device='cuda:0', grad_fn=<NllLossBackward0>)
0 315 tensor(1.8661, device='cuda:0', grad_fn=<NllLossBackward0>)
0 316 tensor(1.9032, device='cuda:0', grad_fn=<NllLossBackward0>)
0 317 tensor(1.7887, device='cuda:0', grad_fn=<NllLossBackward0>)
0 318 tensor(1.8953, device='cuda:0', grad_fn=<NllLossBackward0>)
0 319 tensor(1.7656, device='cuda:0', grad_fn=<NllLossBackward0>)
0 320 tensor(2.0174, device='cuda:0', grad_fn=<NllLossBackward0>)
0 321 tensor(1.8997, device='cuda:0', grad_fn=<NllLossBackward0>)
0 322 tensor(1.8006, device='cuda:0', grad_fn=<NllLossBackward0>)
0 323 tensor(1.8658, device='cuda:0', grad_fn=<NllLossBackward0>)
0 324 tensor(1.9172, device='cuda:0', grad_fn=<NllLossBackward0>)
0 325 tensor(1.8912, device='cuda:0', grad_fn=<NllLossBackward0>)
0 326 tensor(2.0789, device='cuda:0', grad_fn=<NllLossBackward0>)
0 327 tensor(1.9294, device='cuda:0', grad_fn=<NllLossBackward0>)
0 328 tensor(1.8463, device='cuda:0', grad_fn=<NllLossBackward0>)
0 329 tensor(1.7948, device='cuda:0', grad_fn=<NllLossBackward0>)
0 330 tensor(1.8873, device='cuda:0', grad_fn=<NllLossBackward0>)
0 331 tensor(1.9299, device='cuda:0', grad_fn=<NllLossBackward0>)
0 332 tensor(1.9075, device='cuda:0', grad_fn=<NllLossBackward0>)
0 333 tensor(1.9718, device='cuda:0', grad_fn=<NllLossBackward0>)
0 334 tensor(1.8774, device='cuda:0', grad_fn=<NllLossBackward0>)
0 335 tensor(1.9340, device='cuda:0', grad_fn=<NllLossBackward0>)
0 336 tensor(1.8322, device='cuda:0', grad_fn=<NllLossBackward0>)
0 337 tensor(1.9302, device='cuda:0', grad_fn=<NllLossBackward0>)
0 338 tensor(1.8686, device='cuda:0', grad_fn=<NllLossBackward0>)
0 339 tensor(1.8104, device='cuda:0', grad_fn=<NllLossBackward0>)
0 340 tensor(1.8374, device='cuda:0', grad_fn=<NllLossBackward0>)
0 341 tensor(1.8424, device='cuda:0', grad_fn=<NllLossBackward0>)
0 342 tensor(1.8837, device='cuda:0', grad_fn=<NllLossBackward0>)
0 343 tensor(1.9221, device='cuda:0', grad_fn=<NllLossBackward0>)
0 344 tensor(1.8819, device='cuda:0', grad_fn=<NllLossBackward0>)
0 345 tensor(1.8317, device='cuda:0', grad_fn=<NllLossBackward0>)
0 346 tensor(1.8296, device='cuda:0', grad_fn=<NllLossBackward0>)
0 347 tensor(1.8453, device='cuda:0', grad_fn=<NllLossBackward0>)
0 348 tensor(1.9892, device='cuda:0', grad_fn=<NllLossBackward0>)
0 349 tensor(1.9035, device='cuda:0', grad_fn=<NllLossBackward0>)
0 350 tensor(1.8647, device='cuda:0', grad_fn=<NllLossBackward0>)
0 351 tensor(1.7948, device='cuda:0', grad_fn=<NllLossBackward0>)
0 352 tensor(1.8042, device='cuda:0', grad_fn=<NllLossBackward0>)
0 353 tensor(1.7836, device='cuda:0', grad_fn=<NllLossBackward0>)
0 354 tensor(1.8031, device='cuda:0', grad_fn=<NllLossBackward0>)
0 355 tensor(1.7501, device='cuda:0', grad_fn=<NllLossBackward0>)
0 356 tensor(1.9559, device='cuda:0', grad_fn=<NllLossBackward0>)
